Date,Mood,Emoji,Polarity,Sleep,Screen Time,Appetite,Journal
2025-05-07 18:34,Happy,😀,0.7,8,2,Good,good
2025-05-08 06:48,Happy,😀,0.8,8,2,Good,happy
